team_id,gameweek,fixture_date,fixtures_in_window,congestion_index,days_since_last,days_to_next,is_home,opponent,base_rotation_risk,turnaround_risk,dgw_risk,total_rotation_risk
1,1,2025-08-17 15:30:00+00:00,2,1.0,,6,False,14,0.05,0.0,0.0,0.05
1,2,2025-08-23 16:30:00+00:00,2,1.0,6.0,7,True,11,0.05,0.0,0.0,0.05
1,3,2025-08-31 15:30:00+00:00,1,0.5,7.0,12,False,12,0.05,0.0,0.0,0.05
1,4,2025-09-13 11:30:00+00:00,1,0.5,12.0,8,True,16,0.05,0.0,0.0,0.05
1,5,2025-09-21 15:30:00+00:00,2,1.0,8.0,7,True,13,0.05,0.0,0.0,0.05
1,6,2025-09-28 15:30:00+00:00,3,1.5,7.0,5,False,15,0.15,0.0,0.0,0.15
1,7,2025-10-04 14:00:00+00:00,2,1.0,5.0,14,True,19,0.05,0.1,0.0,0.15000000000000002
1,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,False,10,0.05,0.0,0.0,0.05
1,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,True,8,0.05,0.0,0.0,0.05
1,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,False,3,0.05,0.0,0.0,0.05
2,1,2025-08-16 11:30:00+00:00,1,0.5,,7,True,15,0.05,0.0,0.0,0.05
2,2,2025-08-23 14:00:00+00:00,1,0.5,7.0,8,False,5,0.05,0.0,0.0,0.05
2,3,2025-08-31 18:00:00+00:00,1,0.5,8.0,12,True,8,0.05,0.0,0.0,0.05
2,4,2025-09-13 14:00:00+00:00,1,0.5,12.0,7,False,9,0.05,0.0,0.0,0.05
2,5,2025-09-21 13:00:00+00:00,2,1.0,7.0,6,False,17,0.05,0.0,0.0,0.05
2,6,2025-09-27 14:00:00+00:00,3,1.5,6.0,7,True,10,0.15,0.0,0.0,0.15
2,7,2025-10-04 14:00:00+00:00,2,1.0,7.0,14,True,3,0.05,0.0,0.0,0.05
2,8,2025-10-18 14:00:00+00:00,2,1.0,14.0,7,False,18,0.05,0.0,0.0,0.05
2,9,2025-10-25 14:00:00+00:00,2,1.0,7.0,7,True,13,0.05,0.0,0.0,0.05
2,10,2025-11-01 15:00:00+00:00,2,1.0,7.0,7,False,12,0.05,0.0,0.0,0.05
3,1,2025-08-16 14:00:00+00:00,2,1.0,,7,False,18,0.05,0.0,0.0,0.05
3,2,2025-08-23 14:00:00+00:00,3,1.5,7.0,7,True,17,0.15,0.0,0.0,0.15
3,3,2025-08-30 14:00:00+00:00,2,1.0,7.0,14,False,14,0.05,0.0,0.0,0.05
