team,total_points,goals_scored,assists,clean_sheets,goals_conceded,minutes,saves,bonus,bps,influence,creativity,threat,ict_index,form,selected_by_percent,now_cost,id,name,short_name,goals_per_game,goals_conceded_per_game,clean_sheet_percentage,avg_player_form,total_team_value,team_id_x,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points,form_last_5,home_form,away_form,team_id_y,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,team_id,avg_cs_probability,base_cs_probability,ppg,attack_rating,defence_rating
1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.742424242424242,1905,1,Arsenal,ARS,0.0,0.0,0.0,0.0,190.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1320,1325,1350,1350,1290,1300,1,0.85,0.8,0.0,1350.0,1295.0
2,49,0,0,11,0,964,3,0,185,0.0,0.0,0.0,0.0,1.4,2.585714285714286,1735,2,Aston Villa,AVL,0.0,0.0,1100.0,1.4,173.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1125,1250,1110,1200,1140,1300,2,0.85,0.8,0.0,1155.0,1220.0
3,11,0,0,0,11,561,1,0,36,0.0,0.0,0.0,0.0,0.275,1.9400000000000002,1830,3,Burnley,BUR,0.0,0.0,0.0,0.275,183.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1050,1050,1050,1050,1050,1050,3,0.7450000000000001,0.8,0.0,1050.0,1050.0
4,44,2,2,0,44,989,6,3,131,283.0,114.5,112.0,50.9,1.1891891891891893,0.6081081081081081,1770,4,Bournemouth,BOU,2.0,4.0,0.0,1.1891891891891893,177.0,4.0,1.0,0.0,0.0,1.0,2.0,4.0,-2.0,0.0,0.0,-3.0,0.0,4,1150,1180,1100,1160,1200,1200,4,0.85,0.42105263157894735,0.0,1130.0,1200.0
5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6722222222222222,1715,5,Brentford,BRE,0.0,0.0,0.0,0.0,171.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1120,1185,1080,1080,1160,1290,5,0.85,0.8,0.0,1080.0,1225.0
6,11,0,0,0,0,550,0,0,66,0.0,0.0,0.0,0.0,0.25,0.9318181818181818,2155,6,Brighton,BHA,0.0,0.0,0.0,0.25,215.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1150,1175,1090,1140,1210,1210,6,0.85,0.8,0.0,1115.0,1210.0
7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.109375,1725,7,Chelsea,CHE,0.0,0.0,0.0,0.0,172.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1185,1245,1150,1190,1220,1300,7,0.85,0.8,0.0,1170.0,1260.0
8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.8705882352941177,1655,8,Crystal Palace,CRY,0.0,0.0,0.0,0.0,165.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1140,1160,1120,1130,1160,1190,8,0.85,0.8,0.0,1125.0,1175.0
9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.8133333333333332,1495,9,Everton,EVE,0.0,0.0,0.0,0.0,149.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1100,1115,1140,1140,1060,1090,9,0.85,0.8,0.0,1140.0,1075.0
10,10,0,0,0,0,550,2,0,46,0.0,0.0,0.0,0.0,0.38461538461538464,0.6807692307692308,1285,10,Fulham,FUL,0.0,0.0,0.0,0.38461538461538464,128.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1125,1125,1130,1130,1120,1120,10,0.85,0.8,0.0,1130.0,1120.0
11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6033333333333334,1410,11,Leeds,LEE,0.0,0.0,0.0,0.0,141.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1050,1075,1050,1050,1050,1100,11,0.85,0.8,0.0,1050.0,1075.0
12,55,4,3,0,22,985,1,3,243,370.0,214.1,225.0,81.10000000000001,1.5714285714285714,5.631428571428572,2010,12,Liverpool,LIV,4.0,2.0,0.0,1.5714285714285714,201.0,12.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,3.0,3.0,9.0,0.0,12,1335,1355,1290,1330,1380,1380,12,0.85,0.7105263157894737,3.0,1310.0,1380.0
13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.521875,1935,13,Man City,MCI,0.0,0.0,0.0,0.0,193.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1275,1315,1250,1250,1300,1380,13,0.85,0.8,0.0,1250.0,1340.0
14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.955,2100,14,Man Utd,MUN,0.0,0.0,0.0,0.0,210.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1105,1125,1110,1110,1100,1140,14,0.85,0.8,0.0,1110.0,1120.0
