gameweek,total_fixtures,dgw_teams,dgw_count,bgw_teams,bgw_count,is_dgw,is_bgw
1,9,[],0,"[4, 12]",2,False,True
2,10,[],0,[],0,False,False
3,10,[],0,[],0,False,False
4,10,[],0,[],0,False,False
5,10,[],0,[],0,False,False
6,10,[],0,[],0,False,False
7,10,[],0,[],0,False,False
8,10,[],0,[],0,False,False
9,10,[],0,[],0,False,False
10,10,[],0,[],0,False,False
11,10,[],0,[],0,False,False
12,10,[],0,[],0,False,False
13,10,[],0,[],0,False,False
14,10,[],0,[],0,False,False
15,10,[],0,[],0,False,False
16,10,[],0,[],0,False,False
17,10,[],0,[],0,False,False
18,10,[],0,[],0,False,False
19,10,[],0,[],0,False,False
20,10,[],0,[],0,False,False
21,10,[],0,[],0,False,False
22,10,[],0,[],0,False,False
23,10,[],0,[],0,False,False
24,10,[],0,[],0,False,False
25,10,[],0,[],0,False,False
26,10,[],0,[],0,False,False
27,10,[],0,[],0,False,False
28,10,[],0,[],0,False,False
29,10,[],0,[],0,False,False
30,10,[],0,[],0,False,False
31,10,[],0,[],0,False,False
32,10,[],0,[],0,False,False
33,10,[],0,[],0,False,False
34,10,[],0,[],0,False,False
35,10,[],0,[],0,False,False
36,10,[],0,[],0,False,False
37,10,[],0,[],0,False,False
38,10,[],0,[],0,False,False
