player_id,name,first_name,second_name,web_name,position,team_id,team_name,team_short,current_price,price_change,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,status,chance_of_playing_this_round,chance_of_playing_next_round,news,news_added,form,transfers_in,transfers_out,transfers_in_event,transfers_out_event,photo_url,photo_code,penalties_taker,corners_taker,freekicks_taker,team_attack_strength,team_defence_strength,team_overall_strength,next_1_gw,next_1_opponent,next_1_difficulty,next_1_venue,next_2_gw,next_2_opponent,next_2_difficulty,next_2_venue,next_3_gw,next_3_opponent,next_3_difficulty,next_3_venue,next_4_gw,next_4_opponent,next_4_difficulty,next_4_venue,next_5_gw,next_5_opponent,next_5_difficulty,next_5_venue,next_6_gw,next_6_opponent,next_6_difficulty,next_6_venue,avg_fixture_difficulty_6gw,total_points_season_1_ago,minutes_season_1_ago,goals_scored_season_1_ago,assists_season_1_ago,clean_sheets_season_1_ago,start_cost_season_1_ago,end_cost_season_1_ago,total_points_season_2_ago,minutes_season_2_ago,goals_scored_season_2_ago,assists_season_2_ago,clean_sheets_season_2_ago,start_cost_season_2_ago,end_cost_season_2_ago,total_points_season_3_ago,minutes_season_3_ago,goals_scored_season_3_ago,assists_season_3_ago,clean_sheets_season_3_ago,start_cost_season_3_ago,end_cost_season_3_ago,goals_scored_per_90,assists_per_90,clean_sheets_per_90,goals_conceded_per_90,own_goals_per_90,penalties_saved_per_90,penalties_missed_per_90,yellow_cards_per_90,red_cards_per_90,saves_per_90,bonus_per_90,minutes_per_game,games_played,total_points_per_90
1,David Raya Martín,David,Raya Martín,Raya,GKP,1,Arsenal,ARS,5.5,0.0,16.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,9812,6370,9812,6370,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,154561.jpg,False,False,False,2700,2590,2645,1,14,3,A,2,11,2,H,3,12,5,A,4,16,3,H,5,13,4,H,6,15,4,A,3.5,166.0,3420.0,0.0,0.0,12.0,4.5,4.8,135.0,2880.0,0.0,0.0,16.0,5.0,5.3,142.0,3420.0,0.0,0.0,13.0,5.5,5.6,,,,,,,,,,,,,,
2,Kepa Arrizabalaga Revuelta,Kepa,Arrizabalaga Revuelta,Arrizabalaga,GKP,1,Arsenal,ARS,4.5,0.0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,491,753,491,753,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,109745.jpg,False,False,False,2700,2590,2645,1,14,3,A,2,11,2,H,3,12,5,A,4,16,3,H,5,13,4,H,6,15,4,A,3.5,118.0,2565.0,0.0,0.0,9.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,5.0,5.0,106.0,2790.0,0.0,0.0,8.0,4.5,4.6,,,,,,,,,,,,,,
3,Karl Hein,Karl,Hein,Hein,GKP,1,Arsenal,ARS,4.0,0.0,0.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,422,456,422,456,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,463748.jpg,False,False,False,2700,2590,2645,1,14,3,A,2,11,2,H,3,12,5,A,4,16,3,H,5,13,4,H,6,15,4,A,3.5,0.0,0.0,0.0,0.0,0.0,4.0,3.9,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,,,,,,,,,,,,,,
4,Tommy Setford,Tommy,Setford,Setford,GKP,1,Arsenal,ARS,4.0,0.0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,126,182,126,182,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,551221.jpg,False,False,False,2700,2590,2645,1,14,3,A,2,11,2,H,3,12,5,A,4,16,3,H,5,13,4,H,6,15,4,A,3.5,0.0,0.0,0.0,0.0,0.0,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Gabriel dos Santos Magalhães,Gabriel,dos Santos Magalhães,Gabriel,DEF,1,Arsenal,ARS,6.0,0.0,18.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,25152,6331,25152,6331,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,226597.jpg,False,False,False,2700,2590,2645,1,14,3,A,2,11,2,H,3,12,5,A,4,16,3,H,5,13,4,H,6,15,4,A,3.5,146.0,3409.0,3.0,0.0,14.0,5.0,5.2,149.0,3042.0,3.0,1.0,16.0,5.0,5.4,117.0,2363.0,3.0,2.0,10.0,6.0,6.1,,,,,,,,,,,,,,
6,William Saliba,William,Saliba,Saliba,DEF,1,Arsenal,ARS,6.0,0.0,13.8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,16642,6160,16642,6160,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,462424.jpg,False,False,False,2700,2590,2645,1,14,3,A,2,11,2,H,3,12,5,A,4,16,3,H,5,13,4,H,6,15,4,A,3.5,117.0,2415.0,2.0,1.0,12.0,4.5,4.9,164.0,3420.0,2.0,1.0,18.0,5.0,5.9,130.0,3039.0,2.0,0.0,12.0,6.0,6.4,,,,,,,,,,,,,,
7,Riccardo Calafiori,Riccardo,Calafiori,Calafiori,DEF,1,Arsenal,ARS,5.5,0.0,0.7,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,1185,846,1185,846,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,466075.jpg,False,False,False,2700,2590,2645,1,14,3,A,2,11,2,H,3,12,5,A,4,16,3,H,5,13,4,H,6,15,4,A,3.5,39.0,978.0,2.0,1.0,1.0,6.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jurriën Timber,Jurriën,Timber,J.Timber,DEF,1,Arsenal,ARS,5.5,0.0,2.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,2360,1382,2360,1382,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,445122.jpg,False,False,False,2700,2590,2645,1,14,3,A,2,11,2,H,3,12,5,A,4,16,3,H,5,13,4,H,6,15,4,A,3.5,0.0,70.0,0.0,0.0,0.0,5.0,4.6,114.0,2415.0,1.0,3.0,11.0,5.5,5.5,,,,,,,,,,,,,,,,,,,,,
9,Jakub Kiwior,Jakub,Kiwior,Kiwior,DEF,1,Arsenal,ARS,5.5,0.0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,77,129,77,129,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,440854.jpg,False,False,False,2700,2590,2645,1,14,3,A,2,11,2,H,3,12,5,A,4,16,3,H,5,13,4,H,6,15,4,A,3.5,26.0,425.0,1.0,0.0,2.0,4.0,4.0,67.0,942.0,1.0,3.0,6.0,4.5,4.0,43.0,1117.0,1.0,0.0,3.0,5.0,4.9,,,,,,,,,,,,,,
10,Myles Lewis-Skelly,Myles,Lewis-Skelly,Lewis-Skelly,DEF,1,Arsenal,ARS,5.5,0.0,4.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,a,,,,,0.0,5092,2971,5092,2971,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Simon_Murray.png/250px-Simon_Murray.png,499169.jpg,False,False,False,2700,2590,2645,1,14,3,A,2,11,2,H,3,12,5,A,4,16,3,H,5,13,4,H,6,15,4,A,3.5,0.0,0.0,0.0,0.0,0.0,4.5,4.5,37.0,1362.0,1.0,0.0,5.0,4.5,4.5,,,,,,,,,,,,,,,,,,,,,
